"cik_code","form_type","doc_link","com_link","filing_date"
"1084380","N-Q","http://www.sec.gov/Archives/edgar/data/1084380/000093041313001743/c72844_nq.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=1084380","2013-03-20"
"916490","485APOS","http://www.sec.gov/Archives/edgar/data/916490/000139834413001506/fp0006807_485apos.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=916490","2013-03-20"
"1545440","485APOS","http://www.sec.gov/Archives/edgar/data/1545440/000111183012000858/fp0005852_485apos.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=1545440","2012-11-21"
"783316","485APOS","http://www.sec.gov/Archives/edgar/data/783316/000118811210000752/t67374_485apos.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=783316","2010-03-31"
"733257","485APOS","http://www.sec.gov/Archives/edgar/data/733257/000118811210001135/t67750_485apos.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=733257","2010-04-30"
"1066980","497K","http://www.sec.gov/Archives/edgar/data/1066980/000095012313001676/b30226a1e497k.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=1066980","2013-03-20"
"1066980","497K","http://www.sec.gov/Archives/edgar/data/1066980/000095012313001677/b30224a1e497k.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=1066980","2013-03-20"
"1275437","485APOS","http://www.sec.gov/Archives/edgar/data/1275437/000111183010000438/fp0001564_485apos.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=1275437","2010-04-29"
"885980","485APOS","http://www.sec.gov/Archives/edgar/data/885980/000089853110000182/tyf-485ap.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=885980","2010-03-01"
"1100663","497K","http://www.sec.gov/Archives/edgar/data/1100663/000119312513116733/d498373d497k.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=1100663","2013-03-20"
"225030","485APOS","http://www.sec.gov/Archives/edgar/data/225030/000109991011000043/aflcio_485apos.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=225030","2011-02-28"
"863903","485APOS","http://www.sec.gov/Archives/edgar/data/863903/000093041310006241/c63683_485apos.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=863903","2010-12-23"
"887210","485APOS","http://www.sec.gov/Archives/edgar/data/887210/000093041310006234/c63682_485apos.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=887210","2010-12-23"
"914775","485APOS","http://www.sec.gov/Archives/edgar/data/914775/000089968110000540/advantage-485apos_112310.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=914775","2010-11-30"
"914775","485APOS","http://www.sec.gov/Archives/edgar/data/914775/000089968111000345/advantage-485apos_100411.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=914775","2011-10-05"
"890540","485APOS","http://www.sec.gov/Archives/edgar/data/890540/000113542811000542/aicii_485apos.txt","http://www.sec.govbrowse-edgar?action=getcompany&CIK=890540","2011-09-29"
"1398078","497K","http://www.sec.gov/Archives/edgar/data/1398078/000089109213002430/e52479_497k.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=1398078","2013-03-19"
"881773","485APOS","http://www.sec.gov/Archives/edgar/data/881773/000089968110000542/dreyfusindia-485apos_112310.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=881773","2010-11-30"
"879535","N-Q","http://www.sec.gov/Archives/edgar/data/879535/000119312513115136/d491313dnq.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=879535","2013-03-19"
"1515671","N-Q","http://www.sec.gov/Archives/edgar/data/1515671/000119312513114543/d499219dnq.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=1515671","2013-03-19"
"102816","497K","http://www.sec.gov/Archives/edgar/data/102816/000094039413000510/acmsesummaryprospectus31913.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=102816","2013-03-19"
"1554370","N-Q","http://www.sec.gov/Archives/edgar/data/1554370/000116204413000308/eudoranq.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=1554370","2013-03-19"
"1452937","485APOS","http://www.sec.gov/Archives/edgar/data/1452937/000139834413001498/fp0006795_485apos.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=1452937","2013-03-19"
"1472754","485APOS","http://www.sec.gov/Archives/edgar/data/1472754/000089418911000939/evermore_485a.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=1472754","2011-03-01"
"886048","497K","http://www.sec.gov/Archives/edgar/data/886048/000089843213000517/a497k.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=886048","2013-03-19"
"1364608","485APOS","http://www.sec.gov/Archives/edgar/data/1364608/000144554611000706/etf2_485a.txt","http://www.sec.govbrowse-edgar?action=getcompany&CIK=1364608","2011-02-15"
"1364608","485APOS","http://www.sec.gov/Archives/edgar/data/1364608/000144554611002445/etf2_485acloud.txt","http://www.sec.govbrowse-edgar?action=getcompany&CIK=1364608","2011-06-27"
